property_name,district,bedroom_count,price,property_age,saleable_area,pet_policy,latitude,longitude,travel_time_to_cbd,walking_time_to_mtr,total_poi_within_1000m,category_Community_Facilities_within_1000m,category_Education_within_2000m,category_Recreation_within_1000m,category_Medical_within_2000m,category_Public_Market_within_1000m,category_Religion_within_2000m,category_Transportation_within_1000m,category_Tourism_within_2000m
THE HOLBORN TOWER B,Sai Wan Ho,1,6200000,2,255,FALSE,22.2824738,114.2227035,24,1,544,10,121,76,10,5,61,39,20
MANHATTAN HILL Tower 3,Mei Foo,2,9800000,18,538,TRUE,22.3346314,114.1423562,38,12,410,3,152,45,18,1,76,36,0
Phoenix Court Block 3,Mid-Levels Central,3,16500000,48,915,TRUE,22.273587,114.172565,11,8,693,6,102,72,29,5,58,32,9
EAST POINT CITY Block 2,Hang Hau,2,6400000,28,463,TRUE,22.3159674,114.2659701,44,3,447,7,201,54,10,5,43,26,0
THE LONG BEACH TOWER 6,Olympic Station,2,9900000,21,547,TRUE,22.3194763,114.1562355,27,14,377,5,261,46,32,5,182,34,6
GRAND CENTRAL PHASE 1 TOWER 1,Kwun Tong,2,11500000,4,593,FALSE,22.3145027,114.2252723,47,6,779,13,209,90,28,8,91,70,0
West Park,Sham Shui Po,2,9500000,24,475,TRUE,22.327635,114.1590039,28,8,886,12,337,77,28,11,203,39,6
PARK IVY,Tai Kok Tsui,3,14000000,11,776,TRUE,22.3212245,114.1640403,28,10,1269,6,399,114,45,9,233,76,6
The Henley Phase 1 Condominium A,Kai Tak New Area,1,6600000,3,320,FALSE,22.3268315,114.1985102,41,8,362,3,284,57,40,2,127,32,1
PARK AVENUE CENTRAL PARK TOWER 3,Olympic Station,3,13900000,23,668,FALSE,22.316468,114.1627867,26,12,1049,7,301,77,42,6,193,66,7
Grand Victoria Phase 2 Tower 6,Nam Cheong Station,3,21000000,2,790,FALSE,22.327493,114.1488089,27,17,305,5,217,15,20,3,139,20,3
Kimley House (Building),Tsim Sha Tsui,1,4200000,40,340,FALSE,22.3004501,114.1747811,19,7,1398,0,175,43,28,5,104,84,4
Greencliff,Mid-Levels East,3,16000000,35,954,FALSE,22.2816223,114.147865,9,14,788,6,152,74,25,7,57,48,9
Tsuen Tak Gardens Block E,Tsuen King Circuit,2,2930000,39,340,TRUE,22.3761522,114.1066712,42,25,373,4,133,39,13,4,85,20,0
GRANDVIEW TOWER BLOCK A,Mid-Levels Central,2,21800000,47,817,TRUE,22.2799907,114.1587983,15,6,774,1,124,54,29,1,50,76,15
The Victoria Towers Tower 3,Tsim Sha Tsui,3,23300000,23,791,FALSE,22.3026096,114.1688331,20,8,1538,5,144,53,25,5,107,89,3
Tycoon Court Block A,Mid-Levels West,2,8380000,31,388,FALSE,22.2785923,114.1520083,8,19,738,3,130,63,24,3,49,55,10
Allway Garden Block F,Tsuen King Circuit,2,4500000,45,477,TRUE,22.3786522,114.1036867,52,30,229,2,95,29,13,3,56,8,0
MANSION COURT,Ho Man Tin,2,7800000,35,572,FALSE,22.3160689,114.1754005,26,11,1255,12,432,111,47,6,245,58,7
METRO HARBOUR VIEW PHASE I TOWER 4,Tai Kok Tsui,2,5300000,22,340,FALSE,22.3244104,114.1603631,27,11,927,7,360,77,44,7,220,59,6
Broadview Garden Block 1,Tsing Yi,3,8000000,33,687,FALSE,22.3560611,114.1044952,38,16,546,11,141,80,10,7,42,34,0
HEYA AQUA TOWER 2,Cheung Sha Wan,3,12800000,9,664,TRUE,22.3389057,114.1545162,29,7,657,9,234,58,20,2,134,33,3
Park Central Phase 2 Tower 12,Tseung Kwan O,3,10000000,22,643,FALSE,22.3072012,114.2570671,45,6,355,9,212,28,8,6,41,25,0
Dragon View Block 2,Ho Man Tin,2,8310000,27,574,FALSE,22.3162997,114.1784417,32,18,1025,10,437,91,49,6,238,49,7
RIVIERA GARDENS HOI YUE MANSION (BLOCK 22),Tsuen Wan Hoi Bun,2,4400000,35,510,FALSE,22.3620725,114.1138363,51,31,505,5,265,51,30,2,108,42,0
CENTURY GATEWAY PHASE 2 Tower 6,Tuen Mun Town Centre,3,9300000,11,663,FALSE,22.3949348,113.9738973,60,2,627,15,187,71,20,11,100,40,0
Lohas Park PHASE 6 LP6 Tower 3,Lohas Park,1,5000000,5,307,FALSE,22.2948541,114.2729928,50,8,62,2,46,7,0,0,1,7,0
Tanner Garden Block 1,North Point,3,12800000,34,840,FALSE,22.2901249,114.202142,22,4,504,6,173,50,5,5,66,30,5
CITY ONE SHATIN SITE 4 BLOCK 41,City One Shatin,2,3990000,40,284,FALSE,22.3867692,114.2026412,47,11,417,6,138,60,15,5,65,27,1
CENTURY LINK PHASE 2 Tower 1B,Tung Chung Town Centre,1,5100000,9,379,FALSE,22.29456,113.949751,60,21,149,2,36,10,8,4,4,9,1
IMPERIAL KENNEDY,Kennedy Town,1,8000000,9,389,TRUE,22.2825073,114.128518,16,4,344,6,118,49,24,4,40,17,1
Primrose Hill Tower 2,Tai Wo Hau,2,8000000,15,507,TRUE,22.3719648,114.130033,44,8,756,17,204,101,25,11,135,27,0
LAKE SILVER Tower 3,Wu Kai Sha,3,12500000,16,690,TRUE,22.4288602,114.2438752,55,0,116,2,57,6,4,1,18,11,0
THE ZENITH PHASE 1 TOWER 2,Wan Chai,2,9800000,18,451,FALSE,22.2746805,114.1739378,11,5,720,7,101,80,28,5,58,35,8
H Cube,Tsuen Wan West,1,5200000,19,308,TRUE,22.3664841,114.1178078,43,17,842,16,249,91,27,6,128,62,0
Grand Promenade Tower 6,Sai Wan Ho,2,10500000,20,492,TRUE,22.2824738,114.2227035,24,1,544,10,121,76,10,5,61,39,20
THE WATERFRONT Phase 1 TOWER 2,Kowloon Station,3,18000000,24,794,FALSE,22.3043214,114.1632224,17,4,641,4,131,33,22,4,109,48,3
PARC OASIS TOWER 2 (41 TAT CHEE AVE),Yau Yat Tsuen,2,12600000,33,566,FALSE,22.3337095,114.1752541,32,8,670,8,440,109,44,5,239,30,7
THE AMUSED,Cheung Sha Wan,1,3980000,7,264,TRUE,22.3394943,114.1532698,31,8,589,9,218,58,23,2,124,35,2
LEI KING WAN SITES C Block 9 Yee Cheung Mansion,Sai Wan Ho,3,8900000,36,666,FALSE,22.2824738,114.2227035,24,1,544,10,121,76,10,5,61,39,20
ROYAL GREEN TOWER 2,Fanling,3,6500000,19,551,TRUE,22.494991,114.1268608,69,17,349,5,140,51,22,3,41,29,1
BOLAND COURT Phase II,Kowloon Tong,3,7600000,49,531,FALSE,22.3369319,114.1763367,27,1,590,4,398,90,43,2,206,31,6
Lohas Park Phase 5A Malibu Tower 1B,Lohas Park,2,8200000,6,553,FALSE,22.2948541,114.2729928,50,8,62,2,46,7,0,0,1,7,0
Parc Oasis Tower 18 (49 Tat Chee Ave),Yau Yat Tsuen,3,12000000,32,603,FALSE,22.3346279,114.1753548,31,7,669,8,433,110,43,6,229,31,7
VICTOR COURT,North Point,3,6880000,32,515,FALSE,22.2883528,114.1919784,20,4,509,3,187,82,8,5,78,27,4
I-Home,Tai Kok Tsui,1,5600000,16,392,TRUE,22.3219102,114.1646273,28,12,1278,6,422,119,45,9,227,80,6
Garden Rivera Block F,Sha Tin,2,3380000,40,269,FALSE,22.3818061,114.1957103,44,11,609,16,157,81,17,9,95,45,1
Lohas Park PHASE 5A MALIBU Tower 3A,Lohas Park,2,9300000,6,594,FALSE,22.2948541,114.2729928,50,8,62,2,46,7,0,0,1,7,0
City Regalia,Sham Shui Po,1,4800000,23,305,FALSE,22.3288598,114.1594021,27,7,928,14,356,87,27,11,203,40,6
GRAND GARDEN,Sai Wan Ho,2,6800000,17,473,TRUE,22.2799845,114.2247735,29,6,486,8,134,59,22,5,62,28,20
HOI LOK COURT Block A (Hoi Pik House),Nam Cheong Station,2,5800000,6,480,FALSE,22.3280014,114.1491341,28,19,342,5,222,26,22,3,142,23,3
EAST POINT CITY BLOCK 5,Hang Hau,2,7500000,28,524,TRUE,22.3166683,114.2657497,45,5,452,7,201,54,10,6,43,25,0
SOUTH HORIZONS Phase 3 Mei Fai Court (Block 17),South Horizons,4,12500000,31,879,FALSE,22.2427519,114.1476164,29,3,334,6,94,34,10,6,43,29,1
KWUN TAK COURT Block B (Kwun Shing House),Ho Man Tin,2,5690000,5,468,FALSE,22.3143041,114.1840341,35,21,747,13,363,109,43,8,193,22,6
FORTRESS METRO TOWER TOWER D,North Point,3,9180000,38,590,FALSE,22.2883281,114.1941252,20,2,535,5,175,84,8,5,78,30,5
BAGUIO VILLA Block 20,Pok Fu Lam,2,15000000,46,906,TRUE,22.262986,114.133068,33,53,159,0,57,10,6,0,13,13,0
