property_name,district,bedroom_count,price,property_age,saleable_area,pet_policy,latitude,longitude,travel_time_to_cbd,walking_time_to_mtr,total_poi_within_1000m,category_Community_Facilities_within_1000m,category_Education_within_2000m,category_Recreation_within_1000m,category_Medical_within_2000m,category_Public_Market_within_1000m,category_Religion_within_2000m,category_Transportation_within_1000m,category_Tourism_within_2000m
Garden Rivera Block A,Sha Tin,2,3580000,40,242,FALSE,22.3808154,114.1949837,45,10,585,15,157,88,17,10,94,41,1
The Grandiose Block 2,Tseung Kwan O,3,9600000,19,649,FALSE,22.3090272,114.2616214,44,6,402,6,200,42,10,6,36,29,0
HARBOUR GREEN TOWER 2,Olympic Station,2,17000000,19,826,FALSE,22.3214477,114.1594633,23,8,715,8,317,77,38,8,204,52,6
K‧Summit Tower 1B,Kai Tak New Area,1,7000000,4,294,FALSE,22.3269115,114.1990234,42,8,336,3,279,54,39,2,125,32,1
THE WINGS IIIA Tower 2B,Tseung Kwan O,2,12600000,9,735,FALSE,22.3055989,114.2594818,46,8,341,9,185,30,7,6,31,27,0
Park Towers Tower 1,Tin Hau,3,32000000,36,998,FALSE,22.28243,114.191512,17,2,662,6,170,87,28,4,88,49,5
RAVANA GARDEN BLOCK 1,Shek Mun,2,8000000,37,645,TRUE,22.3907073,114.2046764,57,9,300,4,116,33,15,5,49,27,0
Florient Rise Tower 3,Olympic Station,2,8000000,16,451,TRUE,22.317771,114.16022,16,0,692,5,280,75,38,4,197,45,6
Dragons Range Court A Tower 1,Kau To Shan,2,7500000,10,662,TRUE,22.4133003,114.2002913,58,28,57,0,26,3,1,0,8,3,1
Bohemian House,Sai Ying Pun,2,11000000,8,488,FALSE,22.2876516,114.1390319,20,11,508,6,139,61,27,6,57,22,9
Monaco Phase 2 Grande Monaco Tower 1A,Kai Tak New Area,2,9500000,3,446,FALSE,22.3271632,114.1999535,47,13,325,3,274,50,34,3,128,32,1
ONE KAI TAK II TOWER 5,Kai Tak New Area,3,16000000,8,800,FALSE,22.3289827,114.2004348,40,5,430,7,290,72,38,5,134,33,1
LOHAS PARK PHASE 6 LP6 TOWER 5,Lohas Park,1,5500000,5,306,FALSE,22.2948541,114.2729928,50,8,62,2,46,7,0,0,1,7,0
Ocean Shores Phase 1 Tower 1,Tiu Keng Leng,2,7600000,24,505,FALSE,22.3031707,114.2527951,39,5,228,6,207,10,2,2,33,18,0
MA ON SHAN CENTRE Tower 1,Ma On Shan,2,5400000,31,364,FALSE,22.426397,114.2333,59,5,311,4,75,39,4,3,25,22,0
THE GRANDIOSE Block 1,Tseung Kwan O,3,9000000,19,668,FALSE,22.3090272,114.2616214,44,6,402,6,200,42,10,6,36,29,0
MAYFAIR BY THE SEA I Tower 18,Pak Shek Kok,3,12500000,10,885,TRUE,22.4306978,114.2072937,56,42,70,0,18,6,1,0,5,11,2
VICTORIA CENTRE BLOCK 1,Tin Hau,2,9450000,44,572,TRUE,22.2874396,114.1901209,24,8,530,5,187,76,24,3,84,29,4
Fleur Pavilia Tower 3,North Point,3,20380000,7,879,TRUE,22.290069,114.2036932,20,10,477,6,166,47,4,3,68,27,5
Vibe Centro Tower 1A,Kai Tak New Area,3,22000000,6,832,TRUE,22.3278979,114.2009027,41,7,398,6,275,66,32,4,130,33,1
DISCOVERY PARK PHASE 1 BLOCK 4,Discovery Park,2,4550000,28,474,FALSE,22.3767155,114.1109884,49,13,516,6,152,45,13,5,101,46,0
Kam Fung Court Kam Wai House (Block C),Ma On Shan,2,5000000,28,540,FALSE,22.4236856,114.2256866,71,11,327,6,84,52,5,2,25,22,1
Florient Rise Tower 3,Olympic Station,2,8780000,16,509,TRUE,22.317771,114.16022,16,0,692,5,280,75,38,4,197,45,6
TIERRA VERDE PHASE 1 TOWER 3A,Tsing Yi,4,13880000,26,786,FALSE,22.3582411,114.1071474,30,3,483,9,182,73,22,3,67,25,0
TIERRA VERDE PHASE 2 Block 11,Tsing Yi,2,8800000,26,522,FALSE,22.3566035,114.107649,32,10,507,12,177,77,21,4,58,27,0
SKY HORIZON TOWER 2,North Point Mid-Levels,3,31000000,22,998,TRUE,22.2859996,114.1963484,29,13,581,8,160,89,8,5,75,32,7
Ocean Pride Phase 3A Ocean Supreme Tower 2B,Tsuen Wan West,2,9280000,6,526,FALSE,22.3683109,114.110007,35,1,617,8,210,61,21,6,107,52,0
NAN FUNG PLAZA TOWER 1,Hang Hau,3,12000000,26,809,FALSE,22.3147268,114.2640324,41,4,487,9,207,55,10,6,43,35,0
Cheerbond Court,Ho Man Tin,3,13000000,34,920,FALSE,22.318507,114.1755339,26,13,1200,10,470,108,54,6,257,57,9
THE AURORA TOWER 2,Tsuen Wan West,1,6000000,5,280,TRUE,22.367227,114.1152665,46,11,736,10,235,79,21,5,130,57,0
PRIMROSE HILL Tower 1,Tai Wo Hau,2,6880000,15,521,TRUE,22.371908,114.1300283,42,6,754,17,204,102,25,11,135,27,0
OCEAN PRIDE Phase 3 TOWER 9,Tsuen Wan West,2,9000000,7,508,FALSE,22.3683109,114.110007,35,1,617,8,210,61,21,6,107,52,0
Parc City Tower 7,Tsuen Wan West,1,8000000,7,481,TRUE,22.3699122,114.1144306,47,11,748,7,222,83,21,5,126,55,0
K‧SUMMIT TOWER 2A,Kai Tak New Area,2,9980000,4,459,FALSE,22.3269115,114.1990234,42,8,336,3,279,54,39,2,125,32,1
Imperial Kennedy,Kennedy Town,1,8980000,9,389,TRUE,22.2825073,114.128518,16,4,344,6,118,49,24,4,40,17,1
OCEANAIRE TOWER 2B,Ma On Shan,3,12000000,14,848,TRUE,22.4156066,114.2233077,63,9,245,7,77,35,6,2,27,14,1
CITY ONE SHATIN Site 1 BLOCK 9,City One Shatin,3,5600000,44,451,FALSE,22.3871137,114.2032087,48,12,402,6,138,58,15,5,63,25,1
JUBILEE GARDEN BLOCK 7,Fo Tan,2,7700000,39,510,TRUE,22.3983606,114.2007371,45,9,209,2,82,19,14,3,39,21,0
Oasis Kai Tak Tower 2,Kai Tak New Area,2,13000000,6,558,TRUE,22.3288586,114.1997402,39,4,409,6,293,68,38,4,133,33,1
GOLDEN LION GARDEN Phase 2 GOLDEN COMFORT COURT (BLOCK D),Tai Wai,1,3300000,37,282,FALSE,22.3671239,114.1810454,45,18,391,12,115,41,6,10,51,21,1
ONE KAI TAK I TOWER 1,Kai Tak New Area,3,18000000,8,833,FALSE,22.3301773,114.2002868,40,3,499,8,302,84,44,6,135,38,1
FLEUR PAVILIA TOWER 1,North Point,3,14950000,7,781,TRUE,22.290069,114.2036932,20,10,477,6,166,47,4,3,68,27,5
Lohas Park Phase 4A Wings At Sea Tower 1A,Lohas Park,2,6400000,6,464,FALSE,22.2948541,114.2729928,50,8,62,2,46,7,0,0,1,7,0
Lohas Park PHASE 4A WINGS AT SEA Tower 2B,Lohas Park,2,6880000,6,489,FALSE,22.2948541,114.2729928,50,8,62,2,46,7,0,0,1,7,0
MY CENTRAL,Central,2,17000000,6,662,TRUE,22.2834046,114.153786,10,7,825,4,127,70,24,4,48,65,10
The Grandiose Block 1,Tseung Kwan O,3,8600000,19,598,FALSE,22.3090272,114.2616214,44,6,402,6,200,42,10,6,36,29,0
PARK CENTRAL PHASE 3 CENTRAL HEIGHTS (TOWER 13),Tseung Kwan O,2,7600000,20,465,FALSE,22.3074503,114.2572761,44,6,366,9,210,31,11,6,41,26,0
GREENFIELD GARDEN PHASE 1 TOWER 1,Tsing Yi,2,5500000,35,440,FALSE,22.3516196,114.1082116,41,19,451,7,124,67,5,6,33,27,0
RAMBLER CREST TOWER 3,Tsing Yi,3,7800000,21,690,FALSE,22.34298,114.10991,48,34,168,4,72,24,5,2,21,10,0
One Silversea Tower 6,Olympic Station,3,14500000,19,665,TRUE,22.317771,114.16022,16,0,692,5,280,75,38,4,197,45,6
FLEUR PAVILIA TOWER 3,North Point,3,18500000,7,882,TRUE,22.290069,114.2036932,20,10,477,6,166,47,4,3,68,27,5
Harbour Green Tower 3,Olympic Station,2,9000000,19,478,FALSE,22.3218634,114.15938,27,11,732,8,315,77,38,8,204,49,6
The Arles Tower 3,Fo Tan,2,9700000,2,512,FALSE,22.3957956,114.197149,41,4,265,4,102,23,14,6,63,25,0
Tsuen King Garden Phase 2 Block 9,Tsuen King Circuit,3,6300000,37,577,FALSE,22.3781127,114.1100626,51,15,393,4,128,39,13,3,95,19,0
THE WATERFRONT Phase 2 TOWER 6,Kowloon Station,3,18900000,24,943,FALSE,22.3043214,114.1632224,17,4,641,4,131,33,22,4,109,48,3
THE PAVILIA BAY TOWER 1B,Tsuen Wan West,2,10000000,7,488,TRUE,22.3656413,114.1125171,49,10,615,5,240,68,24,4,112,47,0
8 LASALLE,Kowloon Tong,3,20000000,11,875,FALSE,22.3266329,114.1820755,33,20,647,5,450,93,49,2,221,12,5
Vision City Block 1,Tsuen Wan West,1,12300000,18,674,TRUE,22.3706748,114.1141282,44,8,735,7,216,82,21,5,125,54,0
K. City Tower 8,Kai Tak New Area,2,9000000,7,449,TRUE,22.3285812,114.2012303,41,6,428,7,271,69,34,4,131,35,1
Grand Villa,North Point Mid-Levels,1,9600000,21,698,FALSE,22.2816223,114.147865,9,14,788,6,152,74,25,7,57,48,9
TSUEN KING GARDEN PHASE 1 BLOCK 2,Tsuen King Circuit,2,4600000,38,434,FALSE,22.3768845,114.1104659,49,13,492,6,148,44,13,5,100,43,0
The Nova,Sai Ying Pun,3,18000000,9,840,TRUE,22.2855924,114.1413778,13,2,614,8,139,77,28,8,58,23,9
The Metro City Phase 2 Tower 3,Po Lam,2,6450000,25,441,FALSE,22.3231863,114.2577924,42,1,393,5,169,59,10,5,42,19,0
K. City Tower 9,Kai Tak New Area,3,14600000,7,632,TRUE,22.3285812,114.2012303,41,6,428,7,271,69,34,4,131,35,1
Victoria Skye Ocean Waves Tower 3,Kai Tak New Area,3,11600000,6,635,TRUE,22.3286136,114.2018788,42,6,451,7,261,70,34,7,128,39,1
PARC CITY TOWER 8,Tsuen Wan West,3,15000000,7,839,TRUE,22.3692611,114.1117131,45,7,640,6,217,69,21,5,117,56,0
PARC PALAIS TOWER 7,King's Park,3,18000000,21,992,TRUE,22.3107748,114.1765925,28,13,1183,9,342,94,43,6,197,40,6
CHELSEA COURT Tower South (A2),Tsuen Wan West,2,6500000,20,474,TRUE,22.3669601,114.1166969,49,13,797,15,243,87,27,6,126,60,0
The Belcher's PHASE 2 Tower 6,Mid-Levels West,3,22000000,23,905,FALSE,22.2816223,114.147865,9,14,788,6,152,74,25,7,57,48,9
Vibe Centro Tower 3,Kai Tak New Area,3,15880000,6,788,TRUE,22.3278979,114.2009027,41,7,398,6,275,66,32,4,130,33,1
PARK CENTRAL PHASE 2 TOWER 1,Tseung Kwan O,3,8500000,22,668,FALSE,22.3072012,114.2570671,45,6,355,9,212,28,8,6,41,25,0
BELVEDERE GARDEN PHASE 2 BLOCK 3,Belvedere,3,5200000,35,572,FALSE,22.3715791,114.1005017,48,21,187,3,123,18,15,2,50,11,0
CLASSICAL GARDENS PHASE 2 BLOCK 2,Tai Po Market,3,8500000,30,745,FALSE,22.4429107,114.162932,60,15,349,6,113,40,10,4,72,26,0
TSING YI GARDEN BLOCK 6,Tsing Yi,3,6600000,38,547,FALSE,22.3535776,114.104947,38,15,510,9,117,75,5,6,32,34,0
TIERRA VERDE PHASE 2 BLOCK 11,Tsing Yi,2,8800000,26,529,FALSE,22.3566035,114.107649,32,10,507,12,177,77,21,4,58,27,0
ONE HOMANTIN TOWER 2,Ho Man Tin,2,9380000,8,477,TRUE,22.3171536,114.1815176,33,21,705,11,424,96,48,5,231,24,7
THE PAVILIA BAY TOWER 1A,Tsuen Wan West,3,23500000,7,826,TRUE,22.3656413,114.1125171,49,10,615,5,240,68,24,4,112,47,0
Imperial Kennedy,Kennedy Town,3,25880000,9,901,TRUE,22.2825073,114.128518,16,4,344,6,118,49,24,4,40,17,1
VICTORIA SKYE OCEAN WAVES TOWER 3,Kai Tak New Area,1,6100000,6,343,TRUE,22.3286136,114.2018788,42,6,451,7,261,70,34,7,128,39,1
Discovery Park Phase 3 Block 9,Discovery Park,2,5700000,27,477,FALSE,22.3760685,114.112651,44,8,634,6,159,64,14,5,104,55,0
YOHO TOWN Phase 2 Yoho Midtown BLOCK M6,Yuen Long Station,3,11000000,15,898,FALSE,22.4460876,114.0347702,53,0,443,3,109,42,14,4,44,37,1
THE PAVILIA BAY TOWER 1B,Tsuen Wan West,2,8500000,7,535,TRUE,22.3656413,114.1125171,49,10,615,5,240,68,24,4,112,47,0
THE HERMITAGE Tower 1,Olympic Station,3,17000000,15,753,TRUE,22.3177203,114.1651867,24,7,1263,9,364,93,45,6,209,82,7
City Point Block 3,Tsuen Wan West,3,9600000,11,695,TRUE,22.3646715,114.1142676,46,12,645,6,253,66,30,4,116,48,0
GREENFIELD GARDEN PHASE 1 TOWER 3,Tsing Yi,3,6000000,35,501,FALSE,22.3514246,114.1083786,40,18,446,7,124,67,5,6,33,27,0
DISCOVERY PARK PHASE 3 BLOCK 10,Discovery Park,3,7800000,27,581,FALSE,22.3758263,114.1125959,44,9,651,6,160,67,14,5,104,56,0
CITY POINT Block 5,Tsuen Wan West,3,11000000,11,769,TRUE,22.3644159,114.1146028,43,13,644,6,258,69,30,3,115,48,0
THE LONG BEACH TOWER 2,Olympic Station,2,9200000,21,564,TRUE,22.3191152,114.1555644,28,15,323,3,246,40,32,5,170,31,6
The Pavilia Farm Phase 1 Tower 3 (3A),Tai Wai,2,10500000,3,452,FALSE,22.372727,114.1795494,33,3,491,13,127,53,10,11,80,30,1
Mantin Heights Tower 6,Ho Man Tin,1,9300000,8,417,TRUE,22.3193605,114.1816284,32,14,723,12,448,91,54,5,225,23,5
K. City Tower 9,Kai Tak New Area,1,6980000,7,377,TRUE,22.3285812,114.2012303,41,6,428,7,271,69,34,4,131,35,1
Harbour One,Shek Tong Tsui,2,19000000,13,662,TRUE,22.287165,114.1330532,23,13,419,8,124,46,23,7,45,22,2
The Pavilia Bay Tower 1B,Tsuen Wan West,2,8900000,7,525,TRUE,22.3656413,114.1125171,49,10,615,5,240,68,24,4,112,47,0
GOLDEN LION GARDEN PHASE 2 GOLDEN COMFORT COURT (BLOCK D),Tai Wai,2,4300000,37,321,FALSE,22.3671239,114.1810454,45,18,391,12,115,41,6,10,51,21,1
Sky Horizon Tower 2,North Point Mid-Levels,3,29000000,22,998,TRUE,22.2859996,114.1963484,29,13,581,8,160,89,8,5,75,32,7
LOHAS PARK PHASE 10 LP10 TOWER 2 (2B),Lohas Park,2,6800000,3,488,FALSE,22.292477,114.267387,51,15,69,2,44,7,0,0,1,7,0
Luk Yeung Sun Chuen Block J,Luk Yeung,2,4400000,42,451,FALSE,22.3728399,114.1211668,42,8,772,14,203,89,26,8,129,42,0
Ocean Shores Phase 1 Tower 2,Tiu Keng Leng,3,11500000,24,784,FALSE,22.3031707,114.2527951,39,5,228,6,207,10,2,2,33,18,0
ISLAND HARBOURVIEW TOWER 6,Olympic Station,3,13680000,25,786,FALSE,22.3193039,114.1693611,17,0,1334,7,451,104,53,6,237,73,7
Tierra Verde PHASE 2 Block 8,Tsing Yi,2,8100000,26,523,FALSE,22.3566035,114.107649,32,10,507,12,177,77,21,4,58,27,0
TSEUNG KWAN O PLAZA PHASE 1 TOWER 2,Tseung Kwan O,3,8880000,22,544,FALSE,22.3091002,114.2617775,44,6,404,6,200,43,10,6,36,28,0
Tsing Yi Garden Block 1,Tsing Yi,2,4600000,38,343,FALSE,22.3476872,114.1106972,46,24,291,5,125,47,11,3,34,16,0
LARVOTTO Tower 5,Yuk Kwai Shan Wan Poon,3,16800000,14,763,TRUE,22.2400865,114.1598262,42,18,326,4,82,53,11,3,36,22,1
JUBILEE GARDEN Block 6,Fo Tan,2,5380000,39,370,TRUE,22.3982303,114.2004585,44,8,220,2,82,19,13,3,39,22,0
The Arch Moon Tower (Block 2A),Kowloon Station,1,10420000,20,395,TRUE,22.3033814,114.1632857,28,45,595,4,113,30,21,5,100,43,3
Yoho Town PHASE 2 YOHO MIDTOWN Block M1,Yuen Long Station,3,10500000,15,760,FALSE,22.4460876,114.0347702,53,0,443,3,109,42,14,4,44,37,1
THE REGENT TOWER 10,Tai Po Luxury/Mid-levels,2,6980000,5,457,TRUE,22.4390908,114.1679352,59,14,227,5,105,25,10,2,67,15,0
Beacon Heights Phase 1 Block 1,Lung Ping,4,16000000,40,978,FALSE,22.3418243,114.1674605,45,29,400,8,308,51,25,1,155,17,4
DRAGONS RANGE COURT A TOWER 2,Kau To Shan,1,8000000,10,467,TRUE,22.413291,114.2000107,60,29,54,0,27,3,1,0,8,2,1
La Cite Noble Block 4,Hang Hau,2,6180000,26,434,TRUE,22.3143993,114.2662381,44,4,444,7,199,53,10,6,41,28,0
THE HERMITAGE TOWER 8,Olympic Station,4,20200000,15,827,TRUE,22.3177267,114.1637591,24,11,1160,7,333,88,45,6,210,76,7
Parc City Tower 6,Tsuen Wan West,2,7680000,7,427,TRUE,22.3692611,114.1117131,45,7,640,6,217,69,21,5,117,56,0
Altro,Sai Ying Pun,2,10500000,11,450,FALSE,22.2861077,114.1402363,14,5,568,8,141,71,28,8,57,22,9
CHELSEA COURT TOWER NORTH (B2),Tsuen Wan West,1,6800000,20,450,TRUE,22.3666491,114.1173465,47,17,826,15,249,91,27,6,128,61,0
DYNASTY HEIGHTS Tropicana Tropicana 1 (Block 26),Lung Ping,3,14000000,26,992,FALSE,22.3193039,114.1693611,17,0,1334,7,451,104,53,6,237,73,7
Solaria Tower 3,Pak Shek Kok,3,10500000,5,596,TRUE,22.4294603,114.2052339,58,44,93,0,18,6,1,0,5,12,2
Monaco Phase 2 Grande Monaco Tower 1B,Kai Tak New Area,2,12000000,3,502,FALSE,22.3271632,114.1999535,47,13,325,3,274,50,34,3,128,32,1
Harbour Heights Block 1 (Ko Fung Court),North Point,3,17000000,37,856,FALSE,22.2883517,114.1914942,21,5,503,3,187,83,19,5,80,26,4
CHELSEA COURT TOWER WEST (B1),Tsuen Wan West,1,6380000,20,464,TRUE,22.3659855,114.1195241,42,25,867,17,235,110,27,7,130,59,0
Residence Oasis Tower 1,Hang Hau,2,7000000,20,488,FALSE,22.3156023,114.2646174,43,0,478,9,205,54,10,6,43,33,0
LOHAS PARK PHASE 6 LP6 Tower 3,Lohas Park,2,5900000,5,460,FALSE,22.2948541,114.2729928,50,8,62,2,46,7,0,0,1,7,0
H．Bonaire,Ap Lei CHau,1,5990000,8,321,TRUE,22.2441984,114.1557008,29,17,507,10,87,63,12,8,36,36,1
The Campton,Cheung Sha Wan,2,6950000,4,477,FALSE,22.3336228,114.1604091,27,6,979,18,365,100,23,10,188,46,5
K‧Summit Tower 2B,Kai Tak New Area,1,6500000,4,330,FALSE,22.3269115,114.1990234,42,8,336,3,279,54,39,2,125,32,1
Island Harbourview Tower 5,Olympic Station,3,10500000,25,595,FALSE,22.3193039,114.1693611,17,0,1334,7,451,104,53,6,237,73,7
GRAND PROMENADE TOWER 1,Sai Wan Ho,2,9000000,20,462,TRUE,22.2824738,114.2227035,24,1,544,10,121,76,10,5,61,39,20
KING TIN COURT HANG SAM HOUSE (BLOCK E),Tai Wai,2,4800000,41,483,FALSE,22.3672599,114.1800469,45,11,395,11,110,41,6,10,51,20,1
Parc Oasis Tower 29 (29 Grandeur rd),Yau Yat Tsuen,2,10300000,30,527,FALSE,22.334324,114.174024,33,9,691,8,437,91,43,6,236,30,7
YUCCIE SQUARE TOWER 5,Long Ping,2,5080000,8,422,TRUE,22.4467627,114.0278791,59,5,627,8,103,67,14,6,46,52,1
SHUNG MING MANSION,Ho Man Tin,4,9900000,50,832,FALSE,22.318507,114.1755339,26,13,1200,10,470,108,54,6,257,57,9
HAMPTON PLACE TOWER 3,Olympic Station,2,7280000,22,432,FALSE,22.317771,114.16022,16,0,692,5,280,75,38,4,197,45,6
The Latitude Tower 7,San Po Kong,2,11000000,15,584,TRUE,22.3333138,114.1963269,42,10,654,9,358,120,44,9,144,53,1
Grand Promenade Tower 5,Sai Wan Ho,2,9200000,20,498,TRUE,22.2824738,114.2227035,24,1,544,10,121,76,10,5,61,39,20
LOHAS PARK Phase 2B Le Prime TOWER 6 - L WING,Lohas Park,4,9600000,14,987,FALSE,22.2954739,114.2718487,50,8,64,2,53,8,0,0,2,7,0
THE PAVILIA HILL TOWER 5,North Point Mid-Levels,3,26800000,9,915,TRUE,22.2816223,114.147865,9,14,788,6,152,74,25,7,57,48,9
GRAND AUSTIN TOWER 3,Kowloon Station,3,26000000,10,903,TRUE,22.3040054,114.1672698,25,3,1268,5,138,48,25,5,121,70,3
Grand Yoho Phase 1 Tower 9,Yuen Long Station,2,8000000,8,592,FALSE,22.4440279,114.0355872,61,9,441,3,109,40,14,4,46,34,1
FLORIENT RISE Tower 3,Olympic Station,2,8800000,16,482,TRUE,22.317771,114.16022,16,0,692,5,280,75,38,4,197,45,6
COASTAL SKYLINE PHASE 1 Block 3,Tung Chung Town Centre,3,8800000,23,771,FALSE,22.2917622,113.9454684,56,11,195,2,53,15,8,4,8,14,1
HAMPTON PLACE Tower 2,Olympic Station,2,7000000,22,429,FALSE,22.3209392,114.1553734,28,15,381,5,261,46,32,5,184,32,6
DUKE GARDEN,Ho Man Tin,3,10800000,61,985,FALSE,22.318507,114.1755339,26,13,1200,10,470,108,54,6,257,57,9
THE VISIONARY TOWER 5,Tung Chung Town Centre,3,10180000,10,990,TRUE,22.2953239,113.9514626,65,28,102,1,32,5,8,1,3,6,1
GRAND PROMENADE Tower 1,Sai Wan Ho,3,12000000,20,673,TRUE,22.2824738,114.2227035,24,1,544,10,121,76,10,5,61,39,20
LIBERTE Block 1,Four Little Dragons,2,8480000,22,517,TRUE,22.3193039,114.1693611,17,0,1334,7,451,104,53,6,237,73,7
ISLAND HARBOURVIEW TOWER 1,Olympic Station,3,11500000,25,647,FALSE,22.3193039,114.1693611,17,0,1334,7,451,104,53,6,237,73,7
OASIS KAI TAK TOWER 1,Kai Tak New Area,2,10200000,6,485,TRUE,22.3288586,114.1997402,39,4,409,6,293,68,38,4,133,33,1
Park Signature Tower 9,Shap Pat Heung,3,6800000,11,773,TRUE,22.436503,114.0237757,69,25,315,1,100,38,13,2,53,11,3
Maritime Bay Block 2,Hang Hau,3,8000000,26,672,FALSE,22.3147653,114.2658438,43,3,460,7,198,56,10,6,41,30,0
Bauhinia Garden Tower 3,Tseung Kwan O,2,5280000,24,427,FALSE,22.3063701,114.2623159,42,4,310,6,185,32,7,5,32,19,0
Alto Residences Tower 6,Tseung Kwan O,1,5820000,7,401,TRUE,22.3025562,114.2582394,48,10,293,7,174,17,5,5,26,23,0
Camelot Height,Mid-Levels Central,3,16990000,46,971,TRUE,22.2741162,114.1709094,12,9,726,6,111,68,29,3,61,40,12
GRAND CENTRAL PHASE 1 Tower 2,Kwun Tong,2,9520000,4,598,FALSE,22.3145027,114.2252723,47,6,779,13,209,90,28,8,91,70,0
BELLAGIO Phase 1 Tower 6,Sham Tseng,3,10500000,22,900,FALSE,22.3672773,114.0615465,51,91,110,1,11,8,0,2,5,6,2
FAR EAST CONSORTIUM YUEN LONG,Yuen Long Town Centre,2,2990000,50,313,FALSE,22.4445376,114.0222076,64,10,522,6,122,62,14,6,52,28,3
Tsuen Fung Centre,Tsuen Wan Town Centre,2,4300000,38,336,FALSE,22.3721119,114.1193175,40,4,804,15,208,91,23,7,126,48,0
Casa Bella,Mid-Levels West,2,24800000,24,797,FALSE,22.2827483,114.1508328,10,11,837,4,140,76,24,7,52,64,10
LIBERTE Block 1,Four Little Dragons,2,7780000,22,517,TRUE,22.3193039,114.1693611,17,0,1334,7,451,104,53,6,237,73,7
Grand Yoho Phase 2 Tower 8,Yuen Long Station,2,7450000,8,545,FALSE,22.4440279,114.0355872,61,9,441,3,109,40,14,4,46,34,1
MONTEREY Tower 1,Tseung Kwan O,3,19000000,7,789,TRUE,22.302423,114.2616222,49,10,227,3,163,20,7,5,26,24,0
One West Kowloon Tower 2,Four Little Dragons,2,6480000,11,521,FALSE,22.3034757,114.1602846,17,4,260,1,107,17,24,2,96,33,3
Mei Foo Sun Chuen Phase 2 2-4 Glee Path,Mei Foo,3,6200000,53,695,FALSE,22.3364114,114.1391512,33,5,356,3,125,35,8,1,47,35,0
Hanchung Mansion,Tsim Sha Tsui,2,8800000,63,912,FALSE,22.2961201,114.1713893,15,4,1104,0,93,34,23,3,69,56,4
THE GRAND MARINE Tower 2A,Tsing Yi,3,7800000,3,566,FALSE,22.3439865,114.1060175,48,37,229,5,76,36,5,4,21,12,0
Monte Vista Block 2,Wu Kai Sha,3,9200000,25,816,FALSE,22.4261759,114.2428808,62,6,143,2,70,6,4,2,27,11,0
GRAND VICTORIA PHASE 1 TOWER 3A,Nam Cheong Station,2,13800000,2,532,FALSE,22.327493,114.1488089,27,17,305,5,217,15,20,3,139,20,3
East Point City Block 2,Hang Hau,3,7500000,28,623,TRUE,22.3159674,114.2659701,44,3,447,7,201,54,10,5,43,26,0
South Horizons PHASE 1 Hoi Fai Court (Block 2),South Horizons,2,6300000,33,527,FALSE,22.2446028,114.1478734,30,4,393,6,97,41,10,8,43,33,1
TSUEN WAN CENTRE BLOCK 13 (KWEIYANG HOUSE),Tsuen King Circuit,1,3000000,43,307,TRUE,22.3787854,114.1083783,53,17,314,2,120,33,13,3,91,12,0
Joyful Building Block B,Tsuen King Circuit,2,4100000,36,439,FALSE,22.3766074,114.10587,44,24,348,3,121,39,13,4,79,16,0
Timber House,Ho Man Tin,2,10000000,4,393,TRUE,22.3175772,114.1753172,25,13,1203,10,453,104,52,6,256,56,9
GRAND PROMENADE TOWER 2,Sai Wan Ho,2,9800000,20,490,TRUE,22.2824738,114.2227035,24,1,544,10,121,76,10,5,61,39,20
GREENFIELD GARDEN PHASE 1 TOWER 4,Tsing Yi,2,4500000,35,365,FALSE,22.3514246,114.1083786,40,18,446,7,124,67,5,6,33,27,0
Grandview Tower Block B,Mid-Levels Central,2,13500000,47,759,TRUE,22.2799907,114.1587983,15,6,774,1,124,54,29,1,50,76,15
BOHEMIAN HOUSE,Sai Ying Pun,2,14500000,8,523,FALSE,22.2876516,114.1390319,20,11,508,6,139,61,27,6,57,22,9
CONVENTION PLAZA APARTMENTS,Wan Chai,1,11500000,35,565,FALSE,22.2807473,114.1720816,11,8,746,6,104,67,30,5,64,43,12
TIERRA VERDE PHASE 2 Block 12,Tsing Yi,3,11800000,26,653,FALSE,22.3566035,114.107649,32,10,507,12,177,77,21,4,58,27,0
Beverly Garden Block 4,Tseung Kwan O,2,4500000,27,431,FALSE,22.3099348,114.261582,45,6,430,7,208,47,10,6,42,28,0
ISLAND HARBOURVIEW Tower 6,Olympic Station,3,10000000,25,603,FALSE,22.3193039,114.1693611,17,0,1334,7,451,104,53,6,237,73,7
OCEAN SHORES PHASE 2 Tower 10,Tiu Keng Leng,2,7400000,23,484,FALSE,22.3031707,114.2527951,39,5,228,6,207,10,2,2,33,18,0
WOODLAND CREST BLOCK 7,Sheung Shui,3,7500000,29,942,FALSE,22.506294,114.1327103,67,12,360,4,110,68,22,3,37,25,2
CITY ONE SHATIN SITE 5 BLOCK 52,City One Shatin,2,3980000,39,284,FALSE,22.3871137,114.2032087,48,12,402,6,138,58,15,5,63,25,1
The Consonance,Tin Hau,1,4900000,5,265,TRUE,22.2823972,114.1922382,17,2,653,6,172,88,25,4,88,48,5
COASTAL SKYLINE PHASE 4 LE BLEU DEUX BLOCK 5,Tung Chung Town Centre,3,10000000,17,749,FALSE,22.2931165,113.9445733,62,14,198,2,53,15,8,4,8,14,1
PARC OASIS TOWER 11 (11 PARC OASIS RD),Yau Yat Tsuen,3,18000000,32,907,FALSE,22.3340371,114.1746575,33,9,685,8,438,98,43,6,237,30,7
